Features,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28
22.0,0.0029925700257876727,-0.0007540438274231892,0.0008439158816730482,-0.00040074994863414725,-0.003914574665643412,-0.00976779403842522,0.1522194090098609,-0.11096580308639023,0.07597901115820152,-0.20905915629321578,0.18040857849037878,0.22710430255859518,0.14043258049959834,-0.2338969175097517,0.0053733562012747565,-0.05604148033228502,-0.05999766035225676,0.48582692782861336,0.03776647580938879,0.09108649543817719,-0.11724555342209023,-0.2439317051371966,-0.10945777786631518,0.2745224169098522,-0.1995646687009489,-0.3635348513077525,0.07987506442073761,-0.1318882621428268
23.0,0.003022158362824663,0.0001654437390797798,0.0010094683179773098,-0.0013954884080770826,-0.00753454605319825,-0.008939802366218545,0.22664360409032014,-0.05959050122351742,0.17500346199987737,-0.05777082687437633,0.14352277759822735,0.12486497015892961,-0.005328610331569873,-0.08968735749081848,-0.3287727561859118,-0.02527737028583158,0.11047990157488723,-0.23664042518067466,0.22706287594376268,0.023389599653592334,-0.3934417394278921,-0.1862515066340367,-0.23284972996280173,0.12876524247170226,0.4380723310984556,0.34578234669684643,0.09577462515057711,0.009653832224277016
24.0,0.002893343953874111,-0.00014427654291587842,0.0007090923608107536,-0.0003102303266504588,-0.00694709193282546,-0.008788250561052055,0.25423936121951585,0.020779007699185576,0.1687312925737266,0.04272038315701778,0.2140750906790177,-0.05257439706598576,-0.12906045799005095,-0.1385908817628905,0.024537198009441284,0.04445633621660755,0.12722980574805987,-0.24332540905955383,-0.2351920560849531,0.2515676830866909,-0.2856387262685377,0.6230114220519816,-0.08149843627036271,-0.028150870008217522,-0.2648593669349404,-0.10767463922788767,-0.013663745719083607,-0.05592461573952172
25.0,0.001235447161513546,0.000869644894516172,0.0014429715620084993,0.0030969746552627873,-0.006216109065375715,-0.009029630411148458,0.23569661086181432,-0.1519395640774516,0.05121862340236527,0.13320318096781986,-0.16956321865012106,0.17551777233981322,-0.05799262183585172,-0.09088608174744782,-0.05077445906187657,-0.014452548986209447,-0.05135719600125823,0.16398400533345334,0.16237259280004337,-0.1669964633794827,-0.1258552030058481,-0.05335139703312885,-0.17684804535078175,-0.2962371414643441,-0.1471299370672542,-0.15849983142567628,0.2841195077128447,0.11123488457055622
26.0,0.002058174774122519,-0.0004542905853094638,0.0016758368471972256,0.006187794469041849,-0.003864559947239242,-0.0035651505121684184,0.20766697777947019,-0.2614035475865771,-0.0526075008858269,0.23068091057297516,-0.10170812369574947,0.0036809050948429485,-0.023489738756576763,-0.027426539883712322,-0.002258174795548777,-0.01730847089460988,-0.13123385214086092,-0.12783763605590184,-0.13589407347021923,-0.015296812014147662,0.13619837768490345,-0.16862457663702377,0.09987337939014457,-0.0829642965658161,-0.024847858876280292,0.035471958518615704,-0.04698356480271224,-0.05046673716706425
27.0,0.0014718512508384229,6.60918717899674e-05,0.0009238948517352117,0.005814022631980285,-0.001334984281225819,0.0063357002580359395,0.19312920333481673,-0.24719400365982502,-0.04176110186106008,0.20873992803020536,-0.09342954279964312,0.01775573694313406,-0.040454306438680934,-0.10609186472973148,0.0027155892332429037,-0.004136179362348862,0.02658902116147631,-0.18040396230803676,-0.17285261271050023,-0.016374683802020198,0.19010807481757086,-0.22513300178930126,0.04626895407255606,-0.30300787058726586,-0.043243997467897914,0.04751398153169405,0.10572118930474976,-0.008526059018525297
28.0,0.0014026208982162592,0.0001917790453864212,0.0013961150970104223,0.006023168291019986,-0.000452498255639238,0.005882235393471053,0.1391072895406355,-0.2277287305184466,-0.09357980800603855,0.15848917839330912,-0.09656264779014538,-0.18117738194511068,-0.02342547729132943,0.30412043071171835,0.009097949377638697,-0.0007483642079756327,-0.5296360169820269,0.09205814776288132,-0.016852466740589597,-0.2679794216756483,0.018833699596054677,0.2885345126815232,-0.1977003549090866,0.39625795929875834,0.145326886292001,0.04613664321450216,0.024484472274216254,-0.06332609884287829
29.0,0.0008379702311684698,0.0018784541293134008,0.002541029034989981,0.0047032230545382605,-0.003385920820017263,0.005664605926897165,0.05787137085616286,-0.18840542176578512,-0.1277785406403511,-0.040886807702920525,-0.1464013521302616,-0.39211976610901667,-0.2726426582552807,0.14162858942109224,0.28441328877073696,0.1128952940700827,0.5866554902707765,0.25583196055048235,0.2861754908048895,0.02665613596578044,-0.001902920575580247,0.009810767984789888,-0.08388031245598707,0.10607710755930416,0.06780207360073973,0.03037905826446961,0.00984216136107279,-0.02364874952418715
30.0,0.07889923851191331,0.2867143407952955,0.3399366678863416,0.7130286436072638,-0.5352478942685789,0.021649230852075943,-0.01879576643811584,0.01287946273747406,0.002833548390346097,-0.0019534113908619773,-0.00031986399370456984,0.0035884195189513322,-0.005063717016979545,-0.0018679788672138653,-0.0006377779888904699,0.00018237018201636786,-0.005950519881437634,-3.2008400543531796e-05,0.0017940837472423929,0.004408022114500486,0.0004850924054670115,-0.0005898645521894762,-0.0010438416962834606,-0.0008711685915927439,0.0005880721582707337,0.00040145180433256744,0.00020541019738256686,-0.0004890117627787461
31.0,0.07218031731205422,0.12266404270726872,0.40906079878685847,0.198869177741698,0.5741463255524709,-0.661630203299717,-0.02691962063759312,-0.034635754174925884,-0.023070669566077485,0.00761079063808267,-0.012392464793064651,0.003533793887697954,0.01345313980177542,-0.03022026085516369,0.017096638819432717,0.004952819317237513,0.0025278974865745657,-0.002480172794887328,-0.009362919960626118,0.004396315485232401,-0.01810492457697924,0.010149893995191464,0.008332583757113004,0.001598567935902091,0.01954375133987019,-0.0007165798653333037,-0.010285540919383506,8.690859623389239e-05
