Features,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31
3_B_NodeScore,0.007261106,-0.030289774,0.058304475,-0.00496478,-0.103596195,0.204093561,0.034282666,-0.038874791,0.04939763,0.046521164,0.03082886,-0.103791402,-0.023671915,-0.062180397,-0.048363434,0.008191978,0.002014535,-0.02858966,-0.001783205,-0.039088966,0.002633478,0.074568326,0.009390958,-0.035041774,0.062875907,-0.06861156,0.096973216,-0.082197116,0.018825547,0.030097937,-0.006405973
3_C_NodeScore,-0.310662381,-0.280553059,0.478554835,0.075950633,-0.060062667,0.016242083,-0.105574596,-0.154494668,-0.17549517,0.052062859,-0.126495205,0.127835987,-0.057291168,-0.029457767,0.262775606,-0.032857308,-0.012866811,0.039009118,0.021124978,0.268690936,-0.030390789,0.105529786,-0.109282455,0.03337076,-0.052458422,0.016234475,-0.094488342,-0.043969,-0.036333042,0.025785926,0.014505919
4_A_NodeScore,0.035976792,-0.029137366,0.097702925,0.02924904,0.354965973,0.320284326,-0.065549518,0.53426526,-0.318433716,0.092038433,0.021822452,-0.074105596,-0.078673101,-0.035475343,0.00019235,-0.024669174,-0.042385395,-0.064768899,0.003445304,0.171960799,0.018512162,-0.306509866,-0.038133649,0.107301946,0.139828481,-0.032293417,0.00120611,0.206443635,0.030245326,0.043959277,0.007921146
4_B_NodeScore,0.044654435,-0.036844161,0.13579283,0.070891405,0.611414817,0.140672853,-0.078105423,-0.335463766,0.232176135,-0.157721331,0.073255356,-0.159943525,0.03313587,-0.066434112,-0.012069988,0.002144235,-0.010956866,-0.092508405,0.003466827,0.030689797,0.007060687,0.020820592,0.000853261,0.010395745,-0.010850182,-0.038359416,-0.01256018,0.039705239,-0.018984241,-0.394362059,0.064740798
4_C_NodeScore,0.031570531,0.010642379,0.01562004,-0.020910696,0.084639381,0.027127903,0.155262668,-0.130413708,-0.222652649,0.008794432,0.103443648,-0.080057445,-0.084742319,0.027936232,-0.066738235,-0.007015201,-0.007619998,0.099470185,0.022318972,0.169161009,-0.097580772,0.070433693,-0.060891127,0.004270584,-0.068065392,0.07071152,-0.039324606,-0.069435663,-0.057890401,0.007988906,0.064819678
4_D_NodeScore,0.33106897,0.574658677,0.517499933,0.093481392,-0.064148064,-0.075206982,0.020180983,0.015288122,0.035153495,0.0677518,-0.036724811,0.033945363,0.004277219,0.083278928,0.024187869,-0.005142594,-0.002025766,0.015763826,-0.018393245,-0.021293327,0.050974153,0.077387978,-0.015043415,-0.040976369,0.103124922,-0.080187993,-0.07357598,0.195429356,0.076722106,0.019448036,-0.07985295
5_A_NodeScore,0.005151816,-0.043936899,-0.001216241,0.018617163,0.076187636,-0.044362226,0.088355922,0.00662856,0.121774252,0.278143911,0.06725784,0.123107793,-0.134999472,-0.032360186,0.017551847,0.003205457,0.075794487,-0.030070715,-0.02670544,-0.243646877,0.029183825,-0.088284621,-0.054872598,-0.015065781,0.033080589,-0.064778746,0.015291957,0.155148887,0.047538908,-0.020186592,-0.128363586
5_B_NodeScore,0.013824155,-0.03812064,-0.012885068,0.018034275,0.082173197,-0.037938391,0.182312515,0.013386757,0.106426572,0.185712131,-0.195920413,0.035890293,-0.127706859,-0.031439614,-0.041031559,0.093981687,-0.079768336,-0.007958097,-0.008400919,-0.101252398,0.006878195,-0.064106424,-0.146957686,-0.077499345,-0.03264363,0.093420802,0.03596297,-0.013626983,-0.006124462,-0.04637001,-0.138330869
5_C_NodeScore,0.044509795,-0.032889982,-0.009079945,-0.010148186,0.036857385,-0.031387985,0.015389536,-0.055376216,-0.085534708,0.241988263,-0.080016982,-0.06820744,0.38530422,-0.063641611,-0.025866879,-0.103586475,0.015271973,0.007328976,0.00048284,-0.013568069,-0.009159454,0.005614868,-0.012808983,-0.003508541,-0.009878744,-0.051732547,-0.071926692,-0.183161686,0.767266545,-0.086528127,-0.04139867
5_D_NodeScore,0.6682428,-0.50152867,0.103503229,0.052482155,-0.082948176,-0.100710124,-0.042700719,0.022409144,-0.019375974,-0.103662277,0.009228605,0.042876068,-0.042875456,0.03130647,0.021512376,0.006156227,-0.004651705,-0.003890043,0.010094437,0.030374316,-0.108407746,0.044214498,-0.007531985,-0.02673368,0.00495915,-0.013243063,0.037207827,-0.022464947,-0.04748826,0.045019987,-0.017147008
6_A_NodeScore,-0.026342235,0.023009981,-0.154073437,0.82960738,-0.064549955,0.008789582,0.008781379,-0.026429907,-0.067439294,0.008317062,0.022377087,-0.050594032,-0.000492783,-0.011976098,-0.00450359,0.001235489,0.003460161,-0.006743301,-0.005213034,-0.027493539,-0.001698063,-0.020108432,0.028629937,0.042959881,-0.147093163,-0.175408432,0.06770425,0.059586774,0.018569568,0.015432368,0.014776564
